Tx Time(s)	Rx Time(s)	Latency(s)	Source Address
9.17882	9.18258	0.00376118	04-07-01:00:00:02:01:c0:00
9.19882	9.20258	0.00376118	04-07-01:00:00:02:01:c0:00
9.21882	9.22258	0.00376118	04-07-01:00:00:02:01:c0:00
9.23882	9.24258	0.00376118	04-07-01:00:00:02:01:c0:00
9.25882	9.26258	0.00376118	04-07-01:00:00:02:01:c0:00
9.27882	9.28258	0.00376118	04-07-01:00:00:02:01:c0:00
9.29882	9.30258	0.00376118	04-07-01:00:00:02:01:c0:00
9.31882	9.32258	0.00376118	04-07-01:00:00:02:01:c0:00
9.33882	9.34258	0.00376118	04-07-01:00:00:02:01:c0:00
9.35882	9.36258	0.00376118	04-07-01:00:00:02:01:c0:00
9.37882	9.38258	0.00376118	04-07-01:00:00:02:01:c0:00
9.39882	9.40258	0.00376118	04-07-01:00:00:02:01:c0:00
9.41882	9.42258	0.00376118	04-07-01:00:00:02:01:c0:00
9.43882	9.44258	0.00376118	04-07-01:00:00:02:01:c0:00
9.45882	9.46258	0.00376118	04-07-01:00:00:02:01:c0:00
9.47882	9.48258	0.00376118	04-07-01:00:00:02:01:c0:00
9.49882	9.50258	0.00376118	04-07-01:00:00:02:01:c0:00
9.51882	9.52258	0.00376118	04-07-01:00:00:02:01:c0:00
9.53882	9.54258	0.00376118	04-07-01:00:00:02:01:c0:00
9.55882	9.57508	0.0162612	04-07-01:00:00:02:01:c0:00
9.57882	9.59508	0.0162612	04-07-01:00:00:02:01:c0:00
9.59882	9.61508	0.0162612	04-07-01:00:00:02:01:c0:00
9.61882	9.63508	0.0162612	04-07-01:00:00:02:01:c0:00
9.63882	9.65508	0.0162612	04-07-01:00:00:02:01:c0:00
9.65882	9.67508	0.0162612	04-07-01:00:00:02:01:c0:00
9.67882	9.69508	0.0162612	04-07-01:00:00:02:01:c0:00
9.69882	9.71508	0.0162612	04-07-01:00:00:02:01:c0:00
9.71882	9.73508	0.0162612	04-07-01:00:00:02:01:c0:00
9.73882	9.75508	0.0162612	04-07-01:00:00:02:01:c0:00
9.75882	9.77508	0.0162612	04-07-01:00:00:02:01:c0:00
9.77882	9.79508	0.0162612	04-07-01:00:00:02:01:c0:00
9.79882	9.81508	0.0162612	04-07-01:00:00:02:01:c0:00
9.81882	9.83508	0.0162612	04-07-01:00:00:02:01:c0:00
9.83882	9.85508	0.0162612	04-07-01:00:00:02:01:c0:00
9.85882	9.87508	0.0162612	04-07-01:00:00:02:01:c0:00
9.87882	9.89508	0.0162612	04-07-01:00:00:02:01:c0:00
9.89882	9.91508	0.0162612	04-07-01:00:00:02:01:c0:00
9.91882	9.93508	0.0162612	04-07-01:00:00:02:01:c0:00
9.93882	9.95508	0.0162612	04-07-01:00:00:02:01:c0:00
9.95882	9.97508	0.0162612	04-07-01:00:00:02:01:c0:00
9.97882	9.99508	0.0162612	04-07-01:00:00:02:01:c0:00
9.99882	10.0151	0.0162612	04-07-01:00:00:02:01:c0:00
10.0188	10.0351	0.0162612	04-07-01:00:00:02:01:c0:00
10.0388	10.0551	0.0162612	04-07-01:00:00:02:01:c0:00
10.0588	10.0751	0.0162612	04-07-01:00:00:02:01:c0:00
10.0788	10.0951	0.0162612	04-07-01:00:00:02:01:c0:00
10.0988	10.1151	0.0162612	04-07-01:00:00:02:01:c0:00
10.1188	10.1351	0.0162612	04-07-01:00:00:02:01:c0:00
10.1388	10.1551	0.0162612	04-07-01:00:00:02:01:c0:00
10.1588	10.1751	0.0162612	04-07-01:00:00:02:01:c0:00
10.1788	10.1951	0.0162612	04-07-01:00:00:02:01:c0:00
10.1988	10.2151	0.0162612	04-07-01:00:00:02:01:c0:00
10.2188	10.2351	0.0162612	04-07-01:00:00:02:01:c0:00
10.2388	10.2551	0.0162612	04-07-01:00:00:02:01:c0:00
10.2588	10.2751	0.0162612	04-07-01:00:00:02:01:c0:00
10.2788	10.2951	0.0162612	04-07-01:00:00:02:01:c0:00
10.2988	10.3151	0.0162612	04-07-01:00:00:02:01:c0:00
10.3188	10.3351	0.0162612	04-07-01:00:00:02:01:c0:00
10.3388	10.3551	0.0162612	04-07-01:00:00:02:01:c0:00
10.3588	10.3751	0.0162612	04-07-01:00:00:02:01:c0:00
10.3788	10.3951	0.0162612	04-07-01:00:00:02:01:c0:00
10.3988	10.4151	0.0162612	04-07-01:00:00:02:01:c0:00
10.4188	10.4351	0.0162612	04-07-01:00:00:02:01:c0:00
10.4388	10.4551	0.0162612	04-07-01:00:00:02:01:c0:00
10.4588	10.4751	0.0162612	04-07-01:00:00:02:01:c0:00
10.4788	10.4951	0.0162612	04-07-01:00:00:02:01:c0:00
10.4988	10.5151	0.0162612	04-07-01:00:00:02:01:c0:00
10.5188	10.5351	0.0162612	04-07-01:00:00:02:01:c0:00
10.5388	10.5551	0.0162612	04-07-01:00:00:02:01:c0:00
10.5588	10.5751	0.0162612	04-07-01:00:00:02:01:c0:00
10.5788	10.5951	0.0162612	04-07-01:00:00:02:01:c0:00
10.5988	10.6151	0.0162612	04-07-01:00:00:02:01:c0:00
10.6188	10.6351	0.0162612	04-07-01:00:00:02:01:c0:00
10.6388	10.6551	0.0162612	04-07-01:00:00:02:01:c0:00
10.6588	10.6751	0.0162612	04-07-01:00:00:02:01:c0:00
10.6788	10.6951	0.0162612	04-07-01:00:00:02:01:c0:00
10.6988	10.7151	0.0162612	04-07-01:00:00:02:01:c0:00
10.7188	10.7351	0.0162612	04-07-01:00:00:02:01:c0:00
10.7388	10.7551	0.0162612	04-07-01:00:00:02:01:c0:00
10.7588	10.7751	0.0162612	04-07-01:00:00:02:01:c0:00
10.7788	10.7951	0.0162612	04-07-01:00:00:02:01:c0:00
10.7988	10.8151	0.0162612	04-07-01:00:00:02:01:c0:00
10.8188	10.8351	0.0162612	04-07-01:00:00:02:01:c0:00
10.8388	10.8551	0.0162612	04-07-01:00:00:02:01:c0:00
10.8588	10.8751	0.0162612	04-07-01:00:00:02:01:c0:00
10.8788	10.8951	0.0162612	04-07-01:00:00:02:01:c0:00
10.8988	10.9151	0.0162612	04-07-01:00:00:02:01:c0:00
10.9188	10.9351	0.0162612	04-07-01:00:00:02:01:c0:00
10.9388	10.9551	0.0162612	04-07-01:00:00:02:01:c0:00
10.9588	10.9641	0.00526118	04-07-01:00:00:02:01:c0:00
10.9788	10.9841	0.00526118	04-07-01:00:00:02:01:c0:00
10.9988	11.0041	0.00526118	04-07-01:00:00:02:01:c0:00
11.0188	11.0241	0.00526118	04-07-01:00:00:02:01:c0:00
11.0388	11.0441	0.00526118	04-07-01:00:00:02:01:c0:00
11.0588	11.0641	0.00526118	04-07-01:00:00:02:01:c0:00
11.0788	11.0841	0.00526118	04-07-01:00:00:02:01:c0:00
11.0988	11.1041	0.00526118	04-07-01:00:00:02:01:c0:00
11.1188	11.1241	0.00526118	04-07-01:00:00:02:01:c0:00
11.1388	11.1441	0.00526118	04-07-01:00:00:02:01:c0:00
11.1588	11.1641	0.00526118	04-07-01:00:00:02:01:c0:00
11.1788	11.1841	0.00526118	04-07-01:00:00:02:01:c0:00
11.1988	11.2041	0.00526118	04-07-01:00:00:02:01:c0:00
11.2188	11.2241	0.00526118	04-07-01:00:00:02:01:c0:00
11.2388	11.2441	0.00526118	04-07-01:00:00:02:01:c0:00
11.2588	11.2641	0.00526118	04-07-01:00:00:02:01:c0:00
11.2788	11.2841	0.00526118	04-07-01:00:00:02:01:c0:00
11.2988	11.3041	0.00526118	04-07-01:00:00:02:01:c0:00
11.3188	11.3241	0.00526118	04-07-01:00:00:02:01:c0:00
11.3388	11.3441	0.00526118	04-07-01:00:00:02:01:c0:00
11.3588	11.3641	0.00526118	04-07-01:00:00:02:01:c0:00
11.3788	11.3841	0.00526118	04-07-01:00:00:02:01:c0:00
11.3988	11.4041	0.00526118	04-07-01:00:00:02:01:c0:00
11.4188	11.4241	0.00526118	04-07-01:00:00:02:01:c0:00
11.4388	11.4441	0.00526118	04-07-01:00:00:02:01:c0:00
11.4588	11.4641	0.00526118	04-07-01:00:00:02:01:c0:00
11.4788	11.4841	0.00526118	04-07-01:00:00:02:01:c0:00
11.4988	11.5041	0.00526118	04-07-01:00:00:02:01:c0:00
11.5188	11.5241	0.00526118	04-07-01:00:00:02:01:c0:00
11.5388	11.5441	0.00526118	04-07-01:00:00:02:01:c0:00
11.5588	11.5641	0.00526118	04-07-01:00:00:02:01:c0:00
11.5788	11.5841	0.00526118	04-07-01:00:00:02:01:c0:00
11.5988	11.6041	0.00526118	04-07-01:00:00:02:01:c0:00
11.6188	11.6241	0.00526118	04-07-01:00:00:02:01:c0:00
11.6388	11.6441	0.00526118	04-07-01:00:00:02:01:c0:00
11.6588	11.6641	0.00526118	04-07-01:00:00:02:01:c0:00
11.6788	11.6841	0.00526118	04-07-01:00:00:02:01:c0:00
11.6988	11.7041	0.00526118	04-07-01:00:00:02:01:c0:00
11.7188	11.7241	0.00526118	04-07-01:00:00:02:01:c0:00
11.7388	11.7441	0.00526118	04-07-01:00:00:02:01:c0:00
11.7588	11.7641	0.00526118	04-07-01:00:00:02:01:c0:00
11.7788	11.7841	0.00526118	04-07-01:00:00:02:01:c0:00
11.7988	11.8041	0.00526118	04-07-01:00:00:02:01:c0:00
11.8188	11.8241	0.00526118	04-07-01:00:00:02:01:c0:00
11.8388	11.8441	0.00526118	04-07-01:00:00:02:01:c0:00
11.8588	11.8641	0.00526118	04-07-01:00:00:02:01:c0:00
11.8788	11.8841	0.00526118	04-07-01:00:00:02:01:c0:00
11.8988	11.9041	0.00526118	04-07-01:00:00:02:01:c0:00
11.9188	11.9241	0.00526118	04-07-01:00:00:02:01:c0:00
11.9388	11.9441	0.00526118	04-07-01:00:00:02:01:c0:00
11.9588	11.9641	0.00526118	04-07-01:00:00:02:01:c0:00
11.9788	11.9841	0.00526118	04-07-01:00:00:02:01:c0:00
