Tx Time(s)	Rx Time(s)	Latency(ms)
6.58862	6.59408	5.46355
6.60862	6.61408	5.46355
6.62862	6.63408	5.46355
6.64862	6.65408	5.46355
6.66862	6.67408	5.46355
6.68862	6.69408	5.46355
6.70862	6.71408	5.46355
6.72862	6.73408	5.46355
6.74862	6.75408	5.46355
6.76862	6.77408	5.46355
6.78862	6.79408	5.46355
6.80862	6.81408	5.46355
6.82862	6.83408	5.46355
6.84862	6.85408	5.46355
6.86862	6.87408	5.46355
6.88862	6.89408	5.46355
6.90862	6.91408	5.46355
6.92862	6.93408	5.46355
6.94862	6.95408	5.46355
6.96862	6.97408	5.46355
6.98862	6.99408	5.46355
7.00862	7.01408	5.46355
7.02862	7.03408	5.46355
7.04862	7.05408	5.46355
7.06862	7.07408	5.46355
7.08862	7.09408	5.46355
7.10862	7.11408	5.46355
7.12862	7.13408	5.46355
7.14862	7.15408	5.46355
7.16862	7.17408	5.46355
7.18862	7.19408	5.46355
7.20862	7.21408	5.46355
7.22862	7.23408	5.46355
7.24862	7.25408	5.46355
7.26862	7.27408	5.46355
7.28862	7.29408	5.46355
7.30862	7.31408	5.46355
7.32862	7.33408	5.46355
7.34862	7.35408	5.46355
7.36862	7.37408	5.46355
7.38862	7.39408	5.46355
7.40862	7.41408	5.46355
7.42862	7.43408	5.46355
7.44862	7.45408	5.46355
7.46862	7.47408	5.46355
7.48862	7.49408	5.46355
7.50862	7.51408	5.46355
7.52862	7.53408	5.46355
7.54862	7.55408	5.46355
7.56862	7.57408	5.46355
7.58862	7.59408	5.46355
7.60862	7.61408	5.46355
7.62862	7.63408	5.46355
7.64862	7.65408	5.46355
7.66862	7.67408	5.46355
7.68862	7.69408	5.46355
7.70862	7.71408	5.46355
7.72862	7.73408	5.46355
7.74862	7.75408	5.46355
7.76862	7.77408	5.46355
7.78862	7.79408	5.46355
7.80862	7.81408	5.46355
7.82862	7.83408	5.46355
7.84862	7.85408	5.46355
7.86862	7.88883	20.2135
7.88862	7.90883	20.2135
7.90862	7.92883	20.2135
7.92862	7.94883	20.2135
